"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed"
9,27,10.8779344055165,4.8779344055165,0.0261594135363249,7.89502527832485,0.0584311040174314,16.1156322216502,NA,NA,0,10920,1920,270,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
10,30,11.0007150016823,5.00071500168228,0.0210650116721735,6.35751254167381,0.0571808072665256,15.7707932365865,NA,NA,0,12120,2120,300,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
11,33,11.1280205196477,5.12802051964772,0.0210657971920741,6.35774961501124,0.0451220660585585,12.4449235370224,NA,NA,0,13320,2320,330,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
12,36,11.1207671531077,5.12076715310767,0.018014549666495,5.43686978292241,0.0379095593545751,10.4556729932896,NA,NA,0,14520,2520,360,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
13,39,11.1887617652733,5.18876176527334,0.0119286585969525,3.60012127292812,0.0264734431324078,7.30152682097843,NA,NA,0,15720,2720,390,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
14,42,11.1975025925306,5.19750259253059,0.00890861969991096,2.68866034126164,0.0189473776687185,5.22579498040431,NA,NA,0,16920,2920,420,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
15,45,11.1649684846881,5.16496848468812,0.0110751895786607,3.3425405949697,0.0129826666993267,3.58069362715102,NA,NA,0,18120,3120,450,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
16,48,11.1920360633756,5.19203606337561,0.00820494017344776,2.47628678626767,0.0102845389585271,2.83653458567909,NA,NA,0,19320,3320,480,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
17,51,11.2566798233835,5.25667982338349,0.0050339384574435,1.5192646163822,0.00665849286130062,1.83645036162918,NA,NA,0,20520,3520,510,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
18,54,11.2470095930453,5.24700959304534,0.0037779199285473,1.14019273765257,0.00510951172302114,1.4092325165695,NA,NA,0,21720,3720,540,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
19,57,11.2486583036465,5.24865830364648,0.00476903609244899,1.43931592544478,0.00504586463515741,1.39167828621156,NA,NA,0,22920,3920,570,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
20,60,11.2341226832911,5.23412268329106,0.00291716344134389,0.880412669742545,0.00309015232886554,0.852281661938417,NA,NA,0,24120,4120,600,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",4,9004
1,3,6.47935804080263,0.47935804080263,0.343380984605828,84.158076477451,0.492497519794251,94.6194556091656,NA,NA,0,0,1260,30,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
2,6,7.28577091250077,1.28577091250077,0.410063727855421,100.501122999283,0.46601090204732,89.5308018567778,NA,NA,0,0,2460,60,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
3,9,8.21593991784242,2.21593991784242,0.326840775804265,80.1042930133699,0.426313915314877,81.9041496951238,NA,NA,0,0,3660,90,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
4,12,8.7354256869957,2.7354256869957,0.236970836222992,58.078375483351,0.393711527800787,75.6405239220824,NA,NA,0,0,4860,120,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
5,15,9.02997711518453,3.02997711518453,0.178898630996516,43.8456564110526,0.345029886104963,66.2877246687103,NA,NA,0,0,6060,150,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
6,18,9.55197052836038,3.55197052836038,0.238994020785208,58.5742308997783,0.338661931661278,65.0643025019201,NA,NA,0,0,7260,180,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
