"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
10,30,13.2205528882789,7.22055288827893,0.112226540483834,25.7940870221818,0.161213212349769,30.1986058315083,10.6268104438236,3.01643284149369,33,16760,3060,490,19,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
11,33,13.6384052323963,7.63840523239632,0.096582384245159,22.1984426615048,0.122299579734009,22.9092687126257,11.0026335295726,2.99162801235011,48,18460,3360,540,21,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
12,36,13.9934381950412,7.99343819504123,0.0608997901813598,13.9971746504731,0.0926332227529144,17.3521396915553,11.144619356986,2.96052467856971,68,20160,3660,590,23,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
13,39,14.1861386206446,8.18613862064457,0.0549901532308671,12.6389069081607,0.0759520130350669,14.2274002876344,10.8998403330662,3.01004503014027,48,21860,3960,640,25,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
14,42,14.3856638863527,8.38566388635271,0.0473627234114417,10.8858225872002,0.0679344182562375,12.7255371281973,11.3834775326934,2.85185292259375,93,23560,4260,690,27,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
15,45,14.6615129999553,8.6615129999553,0.0393735310113187,9.04959095146326,0.0557347717020532,10.4402882196015,11.2523715404048,2.97041807528557,87,25260,4560,740,29,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
16,48,14.8273452661603,8.82734526616027,0.0256615310798449,5.89803234548865,0.0567627026211589,10.6328411759978,11.4359889026149,2.93154195314816,52,26960,4860,790,31,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
17,51,14.9612665631699,8.96126656316989,0.0276814955957416,6.36229989111671,0.0517634951834412,9.69638508358993,11.5085504366345,2.88187889306987,59,28660,5160,840,33,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
18,54,15.0332464758545,9.03324647585447,0.0313340974783814,7.20181192108762,0.0444808444782163,8.3321923176863,11.7659361174943,2.98778047671797,25,30360,5460,890,35,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
19,57,15.2097414330924,9.20974143309236,0.0151987969693194,3.4932832284496,0.035364582419818,6.62452580235742,11.6095184021589,2.97095176016223,36,32060,5760,940,37,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
